iter	Passed	Remaining
418	3332	1542
419	3339	1534
420	3347	1526
421	3353	1517
422	3363	1510
423	3371	1502
424	3380	1495
425	3386	1486
426	3396	1479
427	3402	1470
428	3410	1462
429	3416	1454
430	3425	1446
431	3432	1437
432	3446	1432
433	3454	1424
434	3461	1416
435	3470	1408
436	3478	1400
437	3484	1392
438	3493	1384
439	3503	1377
440	3510	1369
441	3516	1360
442	3524	1352
443	3532	1344
444	3541	1336
445	3552	1330
446	3559	1321
447	3571	1315
448	3578	1307
449	3589	1300
450	3599	1292
451	3606	1284
452	3616	1277
453	3622	1268
454	3630	1260
455	3637	1252
456	3647	1244
457	3654	1236
458	3661	1228
459	3668	1220
460	3674	1211
461	3684	1204
462	3697	1197
463	3704	1189
464	3712	1181
465	3718	1172
466	3727	1165
467	3734	1156
468	3742	1149
469	3748	1140
470	3754	1131
471	3764	1124
472	3775	1117
473	3783	1109
474	3792	1101
475	3801	1094
476	3812	1087
477	3819	1078
478	3826	1070
479	3833	1062
480	3843	1054
481	3851	1046
482	3859	1038
483	3866	1030
484	3872	1022
485	3879	1013
486	3889	1006
487	3897	998
488	3906	990
489	3912	982
490	3919	973
491	3925	965
492	3931	956
493	3940	949
494	3947	940
495	3958	933
496	3973	927
497	3980	919
498	3989	911
499	3997	903
500	4005	895
501	4012	887
502	4019	878
503	4025	870
504	4035	863
505	4042	854
506	4051	847
507	4057	838
508	4067	831
509	4073	822
510	4082	814
511	4090	806
512	4097	798
513	4103	790
514	4111	782
515	4117	773
516	4123	765
517	4132	757
518	4138	749
519	4147	741
520	4153	733
521	4163	725
522	4169	717
523	4177	709
524	4185	701
525	4194	693
526	4205	686
527	4211	678
528	4216	669
529	4224	661
530	4229	653
531	4234	644
532	4242	636
533	4247	628
534	4252	620
535	4259	611
536	4264	603
537	4270	595
538	4275	587
539	4280	578
540	4288	570
541	4295	562
542	4301	554
543	4306	546
544	4311	537
545	4315	529
546	4324	521
547	4329	513
548	4338	505
549	4344	497
550	4352	489
551	4356	481
552	4361	473
553	4368	465
554	4373	457
555	4379	448
556	4387	441
557	4393	433
558	4401	425
559	4408	417
560	4416	409
561	4423	401
562	4429	393
563	4436	385
564	4442	377
565	4449	369
566	4455	361
567	4461	353
568	4467	345
569	4473	337
570	4482	329
571	4490	321
572	4498	314
573	4504	306
574	4512	298
575	4518	290
576	4524	282
577	4530	274
578	4535	266
579	4542	258
580	4548	250
581	4553	242
582	4562	234
583	4569	226
584	4578	219
585	4583	211
586	4591	203
587	4598	195
588	4607	187
589	4612	179
590	4619	171
591	4627	164
592	4633	156
593	4643	148
594	4650	140
595	4661	132
596	4671	125
597	4678	117
598	4686	109
599	4693	101
600	4706	93
601	4713	86
602	4721	78
603	4728	70
604	4738	62
605	4746	54
606	4755	47
607	4763	39
608	4773	31
609	4783	23
610	4790	15
611	4801	7
612	4812	0
