iter	RMSE
177	0.2501368146
178	0.2499145378
179	0.2496908509
180	0.2494304651
181	0.2489746779
182	0.2485947018
183	0.2484545147
184	0.2481957626
185	0.2478825053
186	0.2476819817
187	0.2474840808
188	0.247333293
189	0.2470252077
190	0.2467633276
191	0.2464679501
192	0.2460708999
193	0.2457649463
194	0.2455066631
195	0.2452061588
196	0.2450023037
197	0.2444551792
198	0.2442993368
199	0.2439630234
200	0.2435862815
201	0.2434186528
202	0.2431705601
203	0.2429926236
204	0.2425503434
205	0.2422423578
206	0.2420632149
207	0.2417695761
208	0.2414183302
209	0.2411071646
210	0.2408787708
211	0.2407514986
212	0.2404236267
213	0.2401683864
214	0.2396182411
215	0.2394165747
216	0.2391959651
217	0.239029687
218	0.2388239373
219	0.2386541128
220	0.2384173136
221	0.2381341425
222	0.2378854627
223	0.2375537057
224	0.2373991129
225	0.2372152085
226	0.2369895526
227	0.2366715256
228	0.2364374345
229	0.2361303219
230	0.2360261701
231	0.2357313916
232	0.2356395296
233	0.2354035345
234	0.2352344917
235	0.2350725584
236	0.2348097809
237	0.2346520962
238	0.2342291018
239	0.2339641774
240	0.2336926987
241	0.2334861664
242	0.2330706446
243	0.2328380952
244	0.2326436399
245	0.2324879306
246	0.2323485343
247	0.2320457989
248	0.2319209499
249	0.2317577202
250	0.231581961
251	0.231333526
252	0.2311578832
253	0.2311161786
254	0.2309076722
255	0.2306835685
256	0.2303594542
257	0.2301683628
258	0.2299907254
259	0.2298322259
260	0.2296318857
261	0.2295052274
262	0.2292840942
263	0.229045406
264	0.2287227099
265	0.2285115314
266	0.2281754483
267	0.2279791156
268	0.2277521335
269	0.2275874133
270	0.2273899655
271	0.2272646
272	0.2269629662
273	0.2267314294
274	0.2264736895
275	0.2262880924
276	0.2260295737
277	0.2258726425
278	0.2257044427
279	0.2253562103
280	0.2251863775
281	0.2249280325
282	0.2247279776
283	0.2245693998
284	0.2243841401
285	0.2242216506
286	0.2240305164
287	0.2238266411
288	0.2235778524
289	0.2234400072
290	0.2231359731
291	0.2229393017
292	0.2227537237
293	0.2226165749
294	0.2224098172
295	0.2222885945
296	0.2221611613
297	0.2220611124
298	0.2218014268
299	0.2216333339
300	0.2213357158
301	0.221138477
302	0.2210066052
303	0.2208324926
304	0.2206551882
305	0.2205919648
306	0.220411945
307	0.2202437601
308	0.2200782611
309	0.2199103687
310	0.2197013884
311	0.2196030088
312	0.2193854932
313	0.2192975781
314	0.2191470728
315	0.2190309223
316	0.2189176588
317	0.2187924197
318	0.2185656814
319	0.2184149909
320	0.2182706777
321	0.2181952566
322	0.2180359115
323	0.2178719104
324	0.217686589
325	0.2175114458
326	0.2174542408
327	0.2171924872
328	0.2170263442
329	0.2168594514
330	0.2167395067
331	0.2165552993
332	0.2164419949
333	0.2162859697
334	0.216081209
335	0.2159178686
336	0.2157297477
337	0.215563166
338	0.2154158362
339	0.2151007776
340	0.2148405372
341	0.2146913992
342	0.2145510982
343	0.2144687826
344	0.2142740997
345	0.2140690937
346	0.2138991071
347	0.2136351097
348	0.2134517075
349	0.21325422
350	0.2130268295
351	0.2128074883
352	0.2126862363
353	0.2125163816
354	0.212349562
355	0.2122021498
356	0.2121403919
357	0.2120398113
358	0.21190836
359	0.2116579391
360	0.2114114165
361	0.2112733583
362	0.2111815623
363	0.2109114434
364	0.2108064529
365	0.2106267085
366	0.2104040242
367	0.2102813543
368	0.2101049315
369	0.2099514951
370	0.2097777943
371	0.2094725183
372	0.2093388267
373	0.2092062064
374	0.2090677853
375	0.2089094587
376	0.2087489572
377	0.2086049995
378	0.2083026567
379	0.2080926905
380	0.2079029909
381	0.2077818764
382	0.2076749386
383	0.2075782141
384	0.2073762415
385	0.2071227779
386	0.2069988777
387	0.2068166013
388	0.2066888583
389	0.2065194896
390	0.2064454665
391	0.2063828961
392	0.2061953859
393	0.2059906492
394	0.2059011247
395	0.2058008219
396	0.2055944249
397	0.2052702453
398	0.2051534032
399	0.2049452864
400	0.204804393
401	0.2045199461
402	0.2043071875
403	0.2040756284
404	0.2038339652
405	0.2036881832
406	0.2034930389
407	0.2033327387
408	0.2030475226
409	0.2027570854
410	0.2025698465
411	0.2024938035
412	0.2023298076
413	0.2021574652
414	0.2020947716
415	0.2020626298
416	0.2018187432
417	0.2016076742
418	0.2013780245
419	0.2011433091
420	0.2009813592
421	0.2008562341
422	0.2006729241
423	0.2005102808
424	0.2003668978
425	0.2001786575
426	0.1999726102
427	0.19972906
428	0.1995099209
429	0.1992664081
430	0.1991526108
431	0.1990484739
432	0.1987535413
433	0.1985674414
434	0.1983559419
435	0.1982311038
436	0.1981084244
437	0.1979617353
438	0.1978100486
439	0.197664183
440	0.1975476205
441	0.1974080106
442	0.1972829325
443	0.1971232853
444	0.1968842105
445	0.1967403944
446	0.1965821869
447	0.1964138799
448	0.1962800564
449	0.1961224022
450	0.1958575084
451	0.1957267506
452	0.1956032144
453	0.1954331236
454	0.1953850289
455	0.1952407655
456	0.1950367555
457	0.1949195433
458	0.1947669892
459	0.1945619593
460	0.1943833645
461	0.1941153568
462	0.1939902744
463	0.193938165
464	0.1938508722
465	0.1937572451
466	0.1936183829
467	0.1934503636
468	0.1933805317
469	0.1933033124
470	0.1931502001
471	0.1930558395
472	0.1928013041
473	0.1927303334
474	0.1926127775
475	0.1925232745
476	0.1923912145
477	0.1923579058
478	0.1922692399
479	0.1921457568
480	0.1920159644
481	0.1918506912
482	0.1917809569
483	0.1916221568
484	0.1914517638
485	0.1912199574
486	0.191060741
487	0.1909458351
488	0.1907639027
489	0.1906745964
490	0.1905626883
491	0.1904749241
492	0.1904219522
493	0.1903237664
494	0.1901773331
495	0.1900788446
496	0.189958075
497	0.1898461416
498	0.1897617775
499	0.1895554574
500	0.1894535398
501	0.1893351923
502	0.1892340261
503	0.1890669292
504	0.1889194717
505	0.1888335879
506	0.1886771136
507	0.1884646587
508	0.1883326333
509	0.1882258615
510	0.1880016912
511	0.1878631214
512	0.1877652588
513	0.18767423
514	0.1875435805
515	0.187463415
516	0.1873971677
517	0.1873043303
518	0.1871526517
519	0.1870684173
520	0.1870129829
521	0.1869830889
522	0.1868704905
523	0.1867942721
524	0.1866790948
525	0.1866123808
526	0.1864978718
527	0.1863586031
528	0.1862836978
529	0.1862126358
530	0.186125788
531	0.1859490986
532	0.1858482302
533	0.1857341941
534	0.1855508576
535	0.1853452637
536	0.1851564668
537	0.1850201902
538	0.1848966624
539	0.1847604746
540	0.1846521323
541	0.1845577766
542	0.1844695272
543	0.1843184584
544	0.1841861221
545	0.1840976148
546	0.1840133371
547	0.1839206588
548	0.1838222868
549	0.1836695026
550	0.1835228218
551	0.1834027586
552	0.1832268638
553	0.1831162471
554	0.1830507026
555	0.1828575029
556	0.1827495488
557	0.1826479786
558	0.1825713499
559	0.182445685
560	0.1823136421
561	0.1821835168
562	0.1820647855
563	0.1819619126
564	0.1818047187
565	0.1816802377
566	0.181565386
567	0.1813552952
568	0.1811825008
569	0.1811245588
570	0.1810199003
571	0.1808605092
572	0.1807947391
573	0.1806449303
574	0.1805201463
575	0.1802884877
576	0.1801668169
577	0.1800321815
578	0.1799082169
579	0.1797094962
580	0.1795724619
581	0.1794792295
582	0.179380212
583	0.1793149344
584	0.1791876186
585	0.1791255454
586	0.1789464168
587	0.1788732559
588	0.1786971683
589	0.1785867449
590	0.1784967171
591	0.1784576762
592	0.1783400998
593	0.1782302907
594	0.1781351732
595	0.1779179763
596	0.177769177
597	0.1776684409
598	0.1775165778
599	0.1774947098
600	0.1773483671
601	0.177220626
602	0.1770637032
603	0.1768992418
604	0.1767800769
605	0.1766619299
606	0.1764825986
607	0.1764257801
608	0.1762926456
609	0.1760140916
610	0.1758266822
611	0.1757606874
612	0.1756229757
