brand,model_year,mileage,fuel_type,transmission,exterior_color,interior_color,accident,clean_title,price,engine_size_L,car_age,miles_per_year
BMW,2018,19600,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,62000,3.0,7,2800.0
Ford,2022,5800,Gasoline,Automatic,White,White,None reported,Yes,42500,Unknown,3,1933.3333333333333
FIAT,2017,33812,Gasoline,Automatic,Silver,Black,None reported,Yes,14999,Unknown,8,4226.5
Cadillac,2015,99897,Gasoline,Automatic,Black,Black,None reported,Yes,26950,6.2,10,9989.7
Mercedes-Benz,2014,127500,Gasoline,Unknown,White,White,None reported,Yes,29000,4.7,11,11590.90909090909
Ford,2021,23842,Gasoline,Automatic,Gray,Gray,None reported,Yes,59203,3.5,4,5960.5
Rivian,2023,2108,Gasoline,Automatic,Silver,White,None reported,Yes,91000,Unknown,2,1054.0
BMW,2014,65550,Gasoline,Unknown,Black,Black,None reported,Yes,39985,4.4,11,5959.090909090909
Lamborghini,2017,22000,Gasoline,Unknown,White,Black,None reported,Yes,210000,5.2,8,2750.0
Ford,2022,15600,Gasoline,Unknown,Gray,unknown,At least 1 accident or damage reported,Yes,68995,2.7,3,5200.0
Lexus,2021,22400,Gasoline,Automatic,White,Red,None reported,Yes,81900,5.0,4,5600.0
Lexus,2015,89150,Gasoline,Automatic,White,Black,None reported,Yes,31900,4.6,10,8915.0
BMW,2023,15000,Gasoline,Automatic,Blue,Orange,None reported,No,81000,3,2,7500.0
Audi,2018,49500,Gasoline,Automatic,Blue,Gray,None reported,Yes,25000,2.0,7,7071.428571428572
Audi,2003,126000,Gasoline,Unknown,Gray,Black,Unknown,No,13850,4.2,22,5727.272727272727
Volkswagen,2015,85385,Gasoline,Manual,Gray,Black,None reported,Yes,15550,2.0,10,8538.5
Cadillac,2023,3000,Diesel,Automatic,White,Brown,None reported,Yes,123999,3.0,2,1500.0
Hyundai,2018,66126,Gasoline,Automatic,White,Gray,None reported,No,19190,2.0,7,9446.57142857143
Toyota,2023,1075,Gasoline,Manual,White,Black,None reported,Yes,35000,2.4,2,537.5
Ford,2023,2489,Gasoline,Automatic,White,Black,None reported,No,98900,3.0,2,1244.5
Hyundai,2021,25000,Gasoline,Automatic,Black,Gray,None reported,Yes,28500,2.5,4,6250.0
Nissan,2017,92000,Gasoline,Automatic,Black,Black,None reported,Yes,20900,5.6,8,11500.0
Lexus,2008,123500,Gasoline,Automatic,White,Gray,At least 1 accident or damage reported,Yes,14500,4.7,17,7264.705882352941
Cadillac,2013,105000,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,12000,3.6,12,8750.0
Audi,2008,49000,Gasoline,Manual,Black,Black,None reported,Yes,63000,4.2,17,2882.3529411764707
Jaguar,2020,28357,Gasoline,Automatic,Black,Red,None reported,No,47598,3.0,5,5671.4
Chevrolet,2018,81000,E85 Flex Fuel,Automatic,Red,Gray,None reported,Yes,32000,4.3,7,11571.42857142857
Ford,2021,45000,Gasoline,Unknown,Gray,Black,None reported,Yes,52000,3.5,4,11250.0
Toyota,2011,173456,E85 Flex Fuel,Automatic,Black,Gray,At least 1 accident or damage reported,Yes,16000,5.7,14,12389.714285714286
BMW,2021,13700,Hybrid,Automatic,Black,Beige,Unknown,No,60000,3.0,4,3425.0
Audi,2019,93400,Hybrid,Automatic,Silver,Brown,None reported,Yes,42500,3.0,6,15566.666666666666
Toyota,2015,90000,Gasoline,Automatic,White,Beige,None reported,Yes,18200,3.5,10,9000.0
Porsche,2017,40600,Gasoline,Automatic,Gray,Black,None reported,Yes,32000,2.0,8,5075.0
Lexus,2023,20121,Gasoline,Automatic,Gray,Red,None reported,Yes,47124,3.5,2,10060.5
Mercedes-Benz,2020,3921,Gasoline,Automatic,Black,White,None reported,Yes,175000,2.0,5,784.2
Lexus,2011,187450,Gasoline,Automatic,Silver,Beige,At least 1 accident or damage reported,Yes,10400,3.5,14,13389.285714285714
Toyota,2021,6400,Gasoline,Unknown,Gray,Black,None reported,Yes,68000,3.0,4,1600.0
Mercedes-Benz,2017,54500,Gasoline,Automatic,White,Black,None reported,Yes,37995,3.0,8,6812.5
BMW,2017,78500,Gasoline,Automatic,Red,Brown,At least 1 accident or damage reported,Yes,42000,4.4,8,9812.5
Chevrolet,2018,75000,Gasoline,Automatic,Silver,Black,None reported,Yes,36000,5.3,7,10714.285714285714
Ford,2014,89988,Gasoline,Automatic,Red,Red,At least 1 accident or damage reported,Yes,42500,6.2,11,8180.727272727273
Subaru,2005,107000,Gasoline,Automatic,Gold,Beige,None reported,Yes,7100,3.0,20,5350.0
Alfa,2019,21400,Gasoline,Automatic,White,Black,None reported,Yes,28500,2.0,6,3566.6666666666665
Mazda,2007,83150,Gasoline,Automatic,White,Beige,None reported,Yes,6950,2.3,18,4619.444444444444
Ford,2018,92000,Diesel,Automatic,Black,Black,At least 1 accident or damage reported,Yes,36500,3.0,7,13142.857142857143
Mercedes-Benz,2021,15042,Gasoline,Automatic,Gray,Other,None reported,No,54599,2.0,4,3760.5
Audi,2017,39000,Gasoline,Unknown,Black,Black,At least 1 accident or damage reported,Yes,35000,3.0,8,4875.0
RAM,2017,67483,Gasoline,Automatic,Brown,Beige,At least 1 accident or damage reported,Yes,46500,6.4,8,8435.375
Tesla,2015,62089,Gasoline,Automatic,Black,Beige,None reported,Yes,29975,Unknown,10,6208.9
Audi,2017,54300,Gasoline,Automatic,Black,Black,None reported,Yes,53500,4.0,8,6787.5
Hyundai,2022,30565,Hybrid,Automatic,Gray,Black,None reported,Yes,29000,2.0,3,10188.333333333334
Audi,2016,142666,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,22000,4.0,9,15851.777777777776
Ford,2009,166200,Gasoline,Automatic,Blue,Gray,At least 1 accident or damage reported,Yes,6999,4.0,16,10387.5
INFINITI,2015,88977,Hybrid,Automatic,Gray,Black,At least 1 accident or damage reported,Yes,19977,3.5,10,8897.7
BMW,2011,114890,Gasoline,Unknown,White,Beige,None reported,Yes,20990,4.0,14,8206.42857142857
Mercedes-Benz,2009,171000,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,4750,3.5,16,10687.5
Ford,2019,90067,Gasoline,Automatic,Black,Black,None reported,No,28590,3.5,6,15011.166666666666
Chevrolet,2014,97579,Gasoline,Unknown,Black,Black,At least 1 accident or damage reported,Yes,15000,3.6,11,8870.818181818182
Mazda,2017,52000,Gasoline,Manual,Black,Black,At least 1 accident or damage reported,Yes,20500,2.0,8,6500.0
Jeep,2021,25968,Gasoline,Automatic,Metallic,Black,None reported,No,38405,3.6,4,6492.0
MINI,2016,41680,Gasoline,Automatic,Silver,Black,None reported,Yes,17495,2.0,9,4631.111111111111
Saab,2002,77200,Gasoline,Manual,Black,Beige,None reported,Yes,7500,2.0,23,3356.521739130435
BMW,2019,50000,Gasoline,Automatic,Blue,Gold,None reported,Yes,43000,3.0,6,8333.333333333334
Porsche,2021,21613,Gasoline,Automatic,White,unknown,None reported,No,58998,2.0,4,5403.25
Audi,2022,17377,Gasoline,Automatic,White,Beige,None reported,No,39998,2.0,3,5792.333333333333
GMC,2020,30426,Gasoline,Automatic,Metallic,Black,Unknown,No,29645,2.5,5,6085.2
Audi,2005,153000,Gasoline,Manual,Blue,Blue,At least 1 accident or damage reported,Yes,6500,2.7,20,7650.0
Mercury,2004,56600,Gasoline,Unknown,Silver,Black,None reported,Yes,23000,4.6,21,2695.2380952380954
Hyundai,2015,116612,Gasoline,Automatic,White,White,At least 1 accident or damage reported,Yes,12700,3.8,10,11661.2
Audi,2018,72000,Gasoline,Automatic,Blue,Black,At least 1 accident or damage reported,Yes,30000,3.0,7,10285.714285714286
Audi,2019,39000,Hybrid,Automatic,Black,Brown,None reported,Yes,50000,3.0,6,6500.0
Lincoln,2008,149000,Gasoline,Automatic,Gold,Beige,None reported,Yes,10099,5.4,17,8764.70588235294
BMW,2018,19300,Gasoline,Manual,White,Silver,None reported,Yes,64000,3.0,7,2757.1428571428573
Mazda,2021,27836,Gasoline,Automatic,Gray,Red,None reported,Yes,36969,2.5,4,6959.0
Chevrolet,2023,3273,Gasoline,Unknown,Black,Red,None reported,Yes,78999,6.2,2,1636.5
Ford,2017,74349,Gasoline,Automatic,White,unknown,None reported,Yes,36000,3.5,8,9293.625
Ford,2019,85000,Diesel,Automatic,White,Black,At least 1 accident or damage reported,Yes,55000,6.7,6,14166.666666666666
Ferrari,2022,2250,Gasoline,Automatic,Gray,Blue,None reported,Yes,259500,3.9,3,750.0
Mercedes-Benz,2017,46100,Gasoline,Automatic,Black,Beige,At least 1 accident or damage reported,Yes,33000,3.0,8,5762.5
Hyundai,2019,49500,Gasoline,Automatic,Silver,Gray,None reported,Yes,28000,2.4,6,8250.0
Mercedes-Benz,2012,31130,Gasoline,Automatic,Black,Black,None reported,Yes,23500,3.5,13,2394.6153846153848
Ford,2008,149460,Diesel,Automatic,Blue,Gray,At least 1 accident or damage reported,Yes,12240,6.4,17,8791.764705882353
Mercury,2003,90000,Gasoline,Automatic,Blue,Beige,At least 1 accident or damage reported,Yes,15500,4.6,22,4090.909090909091
Ford,2021,48000,E85 Flex Fuel,Automatic,White,Gray,None reported,Yes,57000,3.5,4,12000.0
Mercedes-Benz,2013,98000,Gasoline,Automatic,White,Beige,At least 1 accident or damage reported,Yes,15500,3.5,12,8166.666666666667
Volkswagen,2022,18655,Gasoline,Automatic,White,Black,None reported,No,38698,2.0,3,6218.333333333333
Chevrolet,2006,60000,Gasoline,Automatic,Brown,Brown,At least 1 accident or damage reported,Yes,24950,8.1,19,3157.894736842105
Chevrolet,2014,169500,E85 Flex Fuel,Automatic,Purple,Brown,None reported,Yes,15000,5.3,11,15409.09090909091
Mitsubishi,2008,189500,Gasoline,Manual,Red,Black,None reported,Yes,6000,2.4,17,11147.058823529413
Toyota,2016,91000,Gasoline,Automatic,Black,Brown,None reported,Yes,68500,5.7,9,10111.111111111111
Genesis,2022,7396,Gasoline,Automatic,Black,Black,None reported,No,41299,2.5,3,2465.333333333333
Toyota,2004,229450,Gasoline,Automatic,Gray,Gray,None reported,Yes,8250,4.7,21,10926.190476190475
Maserati,2023,8603,Gasoline,Automatic,Blue,Beige,None reported,No,125900,3.0,2,4301.5
Audi,2014,49098,Gasoline,Unknown,White,Black,At least 1 accident or damage reported,Yes,44900,4.2,11,4463.454545454545
Nissan,2022,21212,Gasoline,Automatic,Metallic,Gray,None reported,No,28906,1.5,3,7070.666666666667
Porsche,2010,62743,Gasoline,Unknown,Silver,Gray,None reported,Yes,28600,4.8,15,4182.866666666667
BMW,2021,24300,Hybrid,Automatic,Gray,Beige,None reported,Yes,49999,3.0,4,6075.0
Cadillac,2010,104000,E85 Flex Fuel,Automatic,Gray,unknown,None reported,Yes,19500,6.2,15,6933.333333333333
Volvo,2020,46250,Gasoline,Automatic,White,Gray,At least 1 accident or damage reported,Yes,27800,2.0,5,9250.0
Mazda,2023,1930,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,40655,2.5,2,965.0
Chrysler,2022,61494,Hybrid,Automatic,White,Black,None reported,No,35850,3.6,3,20498.0
Jeep,2020,24040,Gasoline,Automatic,Black,Black,None reported,Yes,35273,2.0,5,4808.0
Toyota,2001,231581,Gasoline,Automatic,Beige,Beige,None reported,Yes,4300,3.0,24,9649.208333333334
Ford,2019,81000,Gasoline,Automatic,Gray,Black,None reported,Yes,38500,3.5,6,13500.0
Ford,1974,6217,Gasoline,Unknown,Gray,unknown,None reported,Yes,115000,Unknown,51,121.90196078431372
Land,2022,23568,Gasoline,Automatic,Red,Black,None reported,No,44998,2.0,3,7856.0
Mazda,2020,78700,Gasoline,Automatic,White,Black,None reported,Yes,18000,2.5,5,15740.0
Kia,2015,109580,Gasoline,Automatic,Red,Black,At least 1 accident or damage reported,Yes,11900,2.4,10,10958.0
Lexus,2009,178000,Gasoline,Automatic,Gray,Gray,At least 1 accident or damage reported,Yes,4500,3.5,16,11125.0
Mitsubishi,2016,131193,Gasoline,Automatic,Black,Black,None reported,Yes,11970,2.4,9,14577.0
Mercedes-Benz,2017,106000,Gasoline,Automatic,White,Black,None reported,Yes,25900,3.0,8,13250.0
Audi,2019,28211,Gasoline,Unknown,Gray,Black,At least 1 accident or damage reported,Yes,27500,2.0,6,4701.833333333333
Audi,2015,91403,E85 Flex Fuel,Automatic,Silver,Gray,None reported,No,14998,2.0,10,9140.3
Mercedes-Benz,2016,88600,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,16800,2.0,9,9844.444444444443
INFINITI,2011,84900,Gasoline,Automatic,Silver,Black,Unknown,No,22450,5.0,14,6064.285714285715
Kia,2021,11154,Gasoline,Automatic,White,Black,None reported,No,28998,1.6,4,2788.5
BMW,2018,45090,Plug-In Hybrid,Automatic,Gray,Black,At least 1 accident or damage reported,Yes,30750,2.0,7,6441.428571428572
Mercedes-Benz,2003,33272,Gasoline,Automatic,Red,Gray,At least 1 accident or damage reported,Yes,11900,2.3,22,1512.3636363636365
Jeep,2003,71000,Gasoline,Manual,Red,Gray,None reported,Yes,12499,2.4,22,3227.2727272727275
Kia,2020,55400,Gasoline,Automatic,Green,White,Unknown,No,36500,3.8,5,11080.0
Land,2012,141525,Gasoline,Automatic,Black,Black,None reported,Yes,14490,5.0,13,10886.53846153846
Jaguar,2007,50000,Gasoline,Unknown,Black,Beige,At least 1 accident or damage reported,Yes,21900,4.2,18,2777.777777777778
BMW,2020,29140,Gasoline,Manual,Orange,Orange,None reported,Yes,71995,3.0,5,5828.0
BMW,2022,9000,Hybrid,Automatic,White,Red,None reported,Yes,56900,3.0,3,3000.0
Mercedes-Benz,2021,5595,Hybrid,Automatic,White,Black,None reported,No,83598,3.0,4,1398.75
RAM,2022,34121,Gasoline,Automatic,Metallic,Black,None reported,No,48190,5.7,3,11373.666666666666
BMW,2013,36750,Gasoline,Automatic,Black,Black,None reported,Yes,35999,4.4,12,3062.5
Mercedes-Benz,2007,49626,Gasoline,Automatic,White,unknown,None reported,Yes,12000,3.0,18,2757.0
Jeep,2017,45000,Gasoline,Automatic,White,Beige,At least 1 accident or damage reported,Yes,16500,2.4,8,5625.0
Toyota,2019,69350,Hybrid,Automatic,Black,Gray,None reported,Yes,36000,3.5,6,11558.333333333334
BMW,2022,8307,Gasoline,Automatic,Blue,Orange,None reported,No,98900,4.4,3,2769.0
BMW,2023,4106,Gasoline,Manual,Green,Orange,None reported,Yes,84645,3.0,2,2053.0
BMW,1999,184700,Gasoline,Manual,Blue,Gray,None reported,Yes,36950,3.2,26,7103.846153846154
Maserati,2018,57500,Gasoline,Automatic,White,Brown,None reported,Yes,41900,3.0,7,8214.285714285714
Acura,2021,29000,Gasoline,Automatic,Black,Black,None reported,Yes,39650,2.0,4,7250.0
Mercedes-Benz,2015,61675,Gasoline,Unknown,Gray,Black,At least 1 accident or damage reported,Yes,19000,2.0,10,6167.5
Mercedes-Benz,2021,33300,Diesel,Automatic,White,Black,None reported,Yes,45000,3.0,4,8325.0
Cadillac,2014,62950,Gasoline,Automatic,Silver,Gray,At least 1 accident or damage reported,Yes,17498,3.6,11,5722.727272727273
Chevrolet,2015,56675,Gasoline,Unknown,Silver,Black,None reported,Yes,19750,3.6,10,5667.5
Porsche,2013,92000,Gasoline,Automatic,Green,Gray,None reported,Yes,23000,4.8,12,7666.666666666667
Dodge,2005,96000,Gasoline,Automatic,Gray,Gold,At least 1 accident or damage reported,Yes,12000,5.7,20,4800.0
INFINITI,2014,33500,Gasoline,Automatic,Black,Black,None reported,Yes,23000,3.7,11,3045.454545454545
Land,2020,16754,Gasoline,Automatic,White,White,None reported,Yes,112000,5.0,5,3350.8
Toyota,2007,53249,Hybrid,Automatic,Silver,Gray,At least 1 accident or damage reported,Yes,9250,2.4,18,2958.277777777778
GMC,2016,119000,Gasoline,Automatic,Gold,Brown,None reported,Yes,12500,3.6,9,13222.222222222224
Lincoln,2021,29336,Gasoline,Automatic,Black,Beige,None reported,No,36999,2.0,4,7334.0
RAM,2017,86000,Diesel,Automatic,Gray,Gray,At least 1 accident or damage reported,Yes,41000,6.7,8,10750.0
RAM,2014,177000,Diesel,Automatic,Black,unknown,At least 1 accident or damage reported,Yes,40500,6.7,11,16090.90909090909
Mercedes-Benz,2013,93500,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,15900,4.6,12,7791.666666666667
BMW,2018,47700,Gasoline,Automatic,Red,White,At least 1 accident or damage reported,Yes,54999,4.4,7,6814.285714285715
Ford,2003,97496,Gasoline,Manual,Gray,Gray,Unknown,No,24500,4.6,22,4431.636363636364
Acura,2022,16120,Gasoline,Automatic,Gray,Black,None reported,No,26599,2.4,3,5373.333333333333
Buick,2005,147589,Gasoline,Automatic,White,Beige,At least 1 accident or damage reported,Yes,2800,4.2,20,7379.45
Cadillac,2013,95570,E85 Flex Fuel,Automatic,Black,Black,At least 1 accident or damage reported,Yes,22000,6.2,12,7964.166666666667
Mercedes-Benz,2018,45791,Gasoline,Automatic,Gray,Gray,None reported,Yes,52000,4.0,7,6541.571428571428
INFINITI,2016,60000,Gasoline,Automatic,Silver,Beige,At least 1 accident or damage reported,Yes,25950,5.6,9,6666.666666666667
Buick,2019,50000,Gasoline,Automatic,White,Black,None reported,Yes,18795,1.4,6,8333.333333333334
Mercedes-Benz,2019,33481,Gasoline,Automatic,Black,Beige,None reported,No,43999,3.0,6,5580.166666666667
Jeep,2010,107000,Gasoline,Automatic,Gray,Gray,None reported,Yes,5900,3.7,15,7133.333333333333
Mercedes-Benz,2011,60000,Gasoline,Unknown,White,Black,At least 1 accident or damage reported,Yes,37000,5.5,14,4285.714285714285
Audi,2016,55000,Gasoline,Automatic,White,Brown,None reported,Yes,28000,3.0,9,6111.111111111111
Mazda,2022,4004,Gasoline,Automatic,Black,Black,None reported,Yes,25500,2.5,3,1334.6666666666667
Bentley,2009,57800,Gasoline,Automatic,Blue,Beige,Unknown,No,59400,6.0,16,3612.5
Bentley,2022,10972,Gasoline,Automatic,Red,Black,None reported,Yes,217950,4.0,3,3657.3333333333335
Bentley,2022,27858,Gasoline,Automatic,Unknown,unknown,None reported,Yes,197750,4.0,3,9286.0
Porsche,2018,31678,Gasoline,Unknown,Silver,unknown,None reported,No,106798,3.0,7,4525.428571428572
Volkswagen,2016,47144,Gasoline,Manual,Blue,Black,None reported,Yes,29950,2.0,9,5238.222222222223
Hyundai,2011,165454,Gasoline,Automatic,Gray,Black,At least 1 accident or damage reported,Yes,4000,3.8,14,11818.142857142857
Ford,2018,98000,Gasoline,Automatic,White,unknown,At least 1 accident or damage reported,Yes,25500,3.5,7,14000.0
Hyundai,2020,39913,Gasoline,Automatic,Black,Beige,None reported,No,22749,2.4,5,7982.6
Ford,2013,147191,Gasoline,Automatic,Blue,Black,At least 1 accident or damage reported,Yes,12990,3.7,12,12265.916666666666
BMW,2014,53600,Gasoline,Automatic,Silver,Black,None reported,Yes,25980,3.0,11,4872.727272727273
Dodge,2010,100100,Gasoline,Unknown,Purple,Black,None reported,Yes,17000,Unknown,15,6673.333333333333
Mercedes-Benz,2020,1750,Gasoline,Automatic,Blue,Black,None reported,Yes,199995,4.0,5,350.0
Dodge,2020,2750,Gasoline,Automatic,Orange,Black,None reported,Yes,104500,6.2,5,550.0
Porsche,2013,40800,Gasoline,Automatic,Brown,Beige,None reported,Yes,35500,2.7,12,3400.0
Porsche,2018,36798,Gasoline,Automatic,Gray,Black,At least 1 accident or damage reported,Yes,49500,2.0,7,5256.857142857143
Ford,2021,77699,Diesel,Automatic,White,Gray,Unknown,No,49883,6.7,4,19424.75
Ford,2010,87500,Gasoline,Automatic,Red,Black,At least 1 accident or damage reported,Yes,14900,4.6,15,5833.333333333333
Chevrolet,2020,93000,Gasoline,Automatic,Black,Black,None reported,Yes,38500,5.3,5,18600.0
Mercedes-Benz,2018,41515,Gasoline,Automatic,Black,Black,None reported,Yes,28251,2.0,7,5930.714285714285
RAM,2019,19000,E85 Flex Fuel,Automatic,Black,Black,At least 1 accident or damage reported,No,33242,3.6,6,3166.6666666666665
Toyota,2023,1539,Hybrid,Automatic,Green,Gray,At least 1 accident or damage reported,Yes,76373,3.4,2,769.5
BMW,2018,31090,Gasoline,Automatic,Green,Black,At least 1 accident or damage reported,Yes,68000,4.4,7,4441.428571428572
Mazda,2022,21701,Gasoline,Automatic,Red,Black,None reported,No,25099,2.5,3,7233.666666666667
Nissan,2016,97726,Gasoline,Unknown,Metallic,Gray,At least 1 accident or damage reported,No,15998,2.5,9,10858.444444444443
Audi,2015,73000,Diesel,Automatic,White,Gray,None reported,Yes,34000,3.0,10,7300.0
Genesis,2020,23600,Gasoline,Automatic,Blue,Gray,None reported,Yes,31900,3.8,5,4720.0
Rolls-Royce,2016,8755,Gasoline,Automatic,Black,Black,None reported,Yes,166900,6.6,9,972.7777777777778
BMW,2019,20500,Gasoline,Unknown,Blue,Black,None reported,Yes,67900,4.4,6,3416.6666666666665
Ford,2013,57912,Gasoline,Manual,Black,Black,At least 1 accident or damage reported,Yes,18750,3.7,12,4826.0
BMW,2009,35000,Gasoline,Automatic,Black,Black,None reported,Yes,18500,4.8,16,2187.5
Nissan,2023,7089,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,29895,Unknown,2,3544.5
Lincoln,2019,35469,Gasoline,Automatic,Black,unknown,Unknown,No,30890,2.3,6,5911.5
Kia,2022,14676,Gasoline,Automatic,Green,Gray,None reported,No,46787,3.8,3,4892.0
Lincoln,2022,13750,Gasoline,Automatic,White,Beige,None reported,Yes,79999,3.5,3,4583.333333333333
Mercedes-Benz,2015,13300,Gasoline,Automatic,Black,Black,None reported,Yes,62500,4.7,10,1330.0
Chevrolet,2017,117000,Gasoline,Automatic,Blue,Beige,None reported,Yes,27000,6.0,8,14625.0
Audi,2020,27100,Hybrid,Automatic,White,Black,None reported,Yes,50000,3.0,5,5420.0
Ford,2017,89352,Gasoline,Automatic,White,Black,At least 1 accident or damage reported,Yes,20989,2.3,8,11169.0
Chevrolet,2018,100000,Gasoline,Automatic,White,Black,At least 1 accident or damage reported,Yes,8500,1.4,7,14285.714285714286
Land,2020,16000,Hybrid,Automatic,Silver,Black,None reported,Yes,75500,3.0,5,3200.0
Land,2023,15200,Gasoline,Automatic,White,Black,None reported,Yes,62999,2.0,2,7600.0
BMW,2012,39960,Gasoline,Manual,White,Brown,None reported,Yes,38995,4.4,13,3073.846153846154
Ford,2008,119000,Gasoline,Automatic,White,Black,At least 1 accident or damage reported,Yes,13500,4.0,17,7000.0
Kia,2022,10971,Gasoline,Automatic,Red,Black,None reported,No,29998,1.6,3,3657.0
Mazda,2014,118500,Gasoline,Manual,Silver,Black,At least 1 accident or damage reported,Yes,11500,2.0,11,10772.727272727272
Kia,2021,8288,Gasoline,Automatic,Black,Black,None reported,Yes,45899,3.3,4,2072.0
Chevrolet,2023,2950,Gasoline,Automatic,Red,Gray,None reported,Yes,74500,6.2,2,1475.0
Mercedes-Benz,2017,73000,Gasoline,Automatic,White,Black,At least 1 accident or damage reported,Yes,78000,5.5,8,9125.0
Ford,2005,82000,Gasoline,Unknown,Gold,White,None reported,Yes,14900,3.9,20,4100.0
Audi,2019,7874,Gasoline,Automatic,Gray,Beige,None reported,No,38999,Unknown,6,1312.3333333333333
GMC,2017,49105,Gasoline,Automatic,White,Black,None reported,Yes,39750,6.2,8,6138.125
Kia,2023,5500,Gasoline,Automatic,Silver,Black,None reported,Yes,40000,3.8,2,2750.0
Chevrolet,2005,36700,Gasoline,Manual,Blue,Black,None reported,Yes,26000,6.0,20,1835.0
BMW,2014,40000,Gasoline,Unknown,White,Beige,None reported,Yes,34000,4.4,11,3636.363636363637
Nissan,2017,78110,Gasoline,Automatic,Silver,Black,Unknown,No,17500,2.5,8,9763.75
GMC,2015,74864,Gasoline,Automatic,Gray,Beige,None reported,Yes,19780,3.6,10,7486.4
Cadillac,2021,15350,Gasoline,Automatic,Black,Black,None reported,Yes,93500,6.2,4,3837.5
Nissan,2010,46100,Gasoline,Automatic,Blue,Black,None reported,Yes,72999,3.8,15,3073.333333333333
Toyota,2018,61454,Gasoline,Automatic,Silver,Gray,None reported,Yes,31000,3.5,7,8779.142857142857
BMW,2020,45241,Gasoline,Automatic,Blue,Brown,None reported,Yes,54500,3.0,5,9048.2
INFINITI,2018,48000,Gasoline,CVT,Black,Black,None reported,Yes,27000,3.5,7,6857.142857142857
Lexus,2010,68500,Gasoline,Manual,Black,Beige,None reported,Yes,18500,2.5,15,4566.666666666667
GMC,2019,43433,Gasoline,Automatic,Black,Brown,None reported,No,51899,5.3,6,7238.833333333333
Chevrolet,2005,122961,Gasoline,Automatic,Red,Black,None reported,Yes,20995,6.0,20,6148.05
Dodge,2014,92861,Gasoline,Automatic,Gray,Red,None reported,Yes,19750,5.7,11,8441.90909090909
Hyundai,2016,72000,Gasoline,Automatic,White,Beige,None reported,Yes,21400,5.0,9,8000.0
Lamborghini,2019,6929,Gasoline,Automatic,Blue,Black,None reported,Yes,649999,6.5,6,1154.8333333333333
Ford,2003,83000,Gasoline,Automatic,Gray,Black,None reported,Yes,10500,4.6,22,3772.727272727273
Audi,2021,18031,Gasoline,Automatic,Blue,Black,None reported,No,39599,Unknown,4,4507.75
Toyota,2023,8200,Hybrid,Automatic,Brown,Black,None reported,Yes,78900,3.4,2,4100.0
Land,2020,19000,Hybrid,Unknown,Silver,Black,Unknown,No,74900,3.0,5,3800.0
Jeep,2022,12875,Gasoline,Automatic,Black,Black,None reported,No,42599,3.6,3,4291.666666666667
Maserati,2015,32000,Gasoline,Automatic,Beige,Brown,None reported,Yes,36000,4.7,10,3200.0
BMW,2013,61145,Gasoline,Automatic,White,Beige,At least 1 accident or damage reported,Yes,37500,4.4,12,5095.416666666667
Mercedes-Benz,2022,9612,Gasoline,Automatic,Unknown,unknown,None reported,No,43900,2,3,3204.0
Land,2023,3534,Hybrid,Automatic,Red,Black,None reported,No,143998,4.4,2,1767.0
Ford,2011,152000,Gasoline,Automatic,Brown,Beige,None reported,Yes,14000,3.5,14,10857.142857142857
Audi,2012,129567,Gasoline,Automatic,White,Black,None reported,Yes,7000,2.0,13,9966.692307692309
BMW,2019,36000,Gasoline,Automatic,Gray,Black,At least 1 accident or damage reported,Yes,41995,3.0,6,6000.0
BMW,2009,92008,Gasoline,Automatic,White,Black,None reported,Yes,12500,3.0,16,5750.5
Ford,1998,63900,Gasoline,Automatic,White,Gray,None reported,Yes,10300,3.8,27,2366.6666666666665
Toyota,2012,150900,Gasoline,Automatic,Black,Gray,None reported,Yes,17500,5.7,13,11607.692307692309
Dodge,2019,43000,Gasoline,Manual,Green,Black,None reported,Yes,50000,Unknown,6,7166.666666666667
Land,2018,38020,Gasoline,Automatic,White,Brown,None reported,No,63998,5.0,7,5431.428571428572
Audi,2021,14750,Hybrid,Unknown,Silver,Black,None reported,Yes,61059,3.0,4,3687.5
Subaru,2015,52500,Gasoline,Manual,Gray,Black,None reported,Yes,23000,2.0,10,5250.0
Chevrolet,2017,207571,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,21000,5.3,8,25946.375
INFINITI,2020,39000,Gasoline,Automatic,Gray,Gray,None reported,Yes,29900,3.5,5,7800.0
Porsche,2011,66000,Gasoline,Automatic,Black,Brown,Unknown,No,28000,2.9,14,4714.285714285715
INFINITI,2017,93500,Gasoline,Automatic,Black,Black,None reported,Yes,16000,3.5,8,11687.5
BMW,2018,7200,Gasoline,Automatic,Black,Black,None reported,Yes,64000,3.0,7,1028.571428571429
Maserati,2022,1220,Gasoline,Automatic,Unknown,unknown,None reported,No,238900,3,3,406.6666666666667
Land,2023,8421,Hybrid,Automatic,Black,White,None reported,Yes,90000,3.0,2,4210.5
