brand,model_year,mileage,fuel_type,transmission,exterior_color,interior_color,accident,clean_title,price,engine_size_L,car_age,miles_per_year
Nissan,2005,130307,Gasoline,Automatic,Blue,Black,None reported,Yes,9950,3.5,20,6515.35
Subaru,2010,178000,Gasoline,Automatic,Blue,Black,None reported,Yes,7600,2.5,15,11866.666666666666
Honda,2003,160265,Gasoline,Automatic,White,Gray,At least 1 accident or damage reported,Yes,3000,1.7,22,7284.772727272727
McLaren,2020,8700,Gasoline,Unknown,Black,Black,None reported,Yes,185000,3.8,5,1740.0
Maserati,2016,1000,Gasoline,Unknown,Gray,Red,None reported,Yes,36000,3.0,9,111.11111111111111
Jeep,2022,29800,Gasoline,Automatic,Unknown,unknown,None reported,No,58900,5.7,3,9933.333333333334
Maserati,2017,49750,Gasoline,Unknown,White,Red,None reported,Yes,27995,3.0,8,6218.75
Lexus,2002,121000,Gasoline,Automatic,Silver,Black,None reported,Yes,6348,3.0,23,5260.869565217391
Lincoln,2005,140000,Gasoline,Automatic,Black,Beige,None reported,Yes,2000,4.6,20,7000.0
Ford,2018,66770,E85 Flex Fuel,Automatic,Red,unknown,Unknown,No,21500,2.5,7,9538.57142857143
Cadillac,2016,61549,Gasoline,Automatic,Red,Black,At least 1 accident or damage reported,No,19998,3.6,9,6838.777777777777
Lincoln,2016,38100,Gasoline,Automatic,Silver,Beige,None reported,Yes,21000,3.5,9,4233.333333333333
Toyota,2010,138071,Gasoline,Manual,Red,Gray,None reported,Yes,5000,1.5,15,9204.733333333334
Mercedes-Benz,2019,40000,Gasoline,Unknown,Black,Black,At least 1 accident or damage reported,Yes,72000,4.0,6,6666.666666666667
Mercedes-Benz,2022,41545,Hybrid,Automatic,White,Black,None reported,No,71998,3.0,3,13848.333333333334
Mercedes-Benz,2019,47850,Gasoline,Automatic,White,Black,At least 1 accident or damage reported,Yes,127899,4.0,6,7975.0
Hyundai,2014,128000,Gasoline,Manual,Blue,Red,None reported,Yes,11000,1.6,11,11636.363636363636
Toyota,2019,48156,Gasoline,Automatic,Black,Beige,None reported,No,40368,4.0,6,8026.0
Mercedes-Benz,2021,4700,Hybrid,Automatic,Black,Black,None reported,Yes,99900,4.0,4,1175.0
Audi,2017,39071,Gasoline,Automatic,White,Black,None reported,No,67900,4.0,8,4883.875
Mazda,1999,96680,Gasoline,Manual,Green,Beige,At least 1 accident or damage reported,Yes,12900,1.8,26,3718.4615384615386
Mercedes-Benz,2017,53500,Gasoline,Automatic,White,Brown,At least 1 accident or damage reported,Yes,33999,3.0,8,6687.5
Chevrolet,2007,11025,Gasoline,Manual,Orange,Black,None reported,Yes,47500,7.0,18,612.5
Ford,2021,44000,Diesel,Automatic,White,Brown,At least 1 accident or damage reported,Yes,73000,6.7,4,11000.0
Volkswagen,2022,11000,Gasoline,Automatic,Blue,White,None reported,Yes,27900,2.0,3,3666.6666666666665
BMW,2012,103000,Gasoline,Automatic,Black,Black,None reported,Yes,16000,4.4,13,7923.076923076923
BMW,2024,456,Gasoline,Unknown,Black,Black,None reported,Yes,128995,3.0,1,456.0
Lexus,2018,64000,Gasoline,Automatic,Red,Brown,None reported,Yes,37300,4.6,7,9142.857142857143
Audi,2017,108000,Gasoline,Automatic,Gray,Brown,None reported,Yes,25999,3.0,8,13500.0
Alfa,2018,37045,Gasoline,Unknown,White,Red,At least 1 accident or damage reported,Yes,26600,2.0,7,5292.142857142857
Land,2023,5433,Hybrid,Automatic,Black,Black,None reported,No,95998,3.0,2,2716.5
BMW,2019,28744,Gasoline,Automatic,Black,Black,None reported,No,50998,4.4,6,4790.666666666667
BMW,2015,65800,Gasoline,Unknown,White,Red,None reported,Yes,44950,3.0,10,6580.0
Rolls-Royce,2021,850,Gasoline,Automatic,White,White,None reported,Yes,314900,6.7,4,212.5
Audi,2019,33012,Gasoline,Automatic,Blue,Beige,None reported,Yes,38000,Unknown,6,5502.0
Lexus,2011,107818,Gasoline,Automatic,Gray,Beige,At least 1 accident or damage reported,Yes,11400,2.5,14,7701.285714285715
Land,2016,79500,Gasoline,Automatic,White,Black,None reported,Yes,19000,2.0,9,8833.333333333334
Ferrari,2015,20000,Gasoline,Automatic,Red,Brown,At least 1 accident or damage reported,Yes,124990,3.9,10,2000.0
Lexus,2018,37000,Gasoline,Automatic,Black,Red,None reported,Yes,63997,5.0,7,5285.714285714285
Kia,2022,11945,Gasoline,Automatic,White,Black,None reported,No,38998,Unknown,3,3981.6666666666665
GMC,2005,131800,Gasoline,Automatic,Silver,Gray,At least 1 accident or damage reported,Yes,5800,5.3,20,6590.0
Lexus,2008,146000,Gasoline,Automatic,Red,Beige,None reported,Yes,8995,3.5,17,8588.235294117647
Nissan,2010,29000,Gasoline,Manual,Silver,unknown,None reported,Yes,29000,3.7,15,1933.3333333333333
Dodge,2004,141209,Gasoline,Automatic,Black,Black,None reported,Yes,5700,5.7,21,6724.238095238095
Ford,2016,85253,Gasoline,Automatic,White,Beige,None reported,Yes,19995,3.5,9,9472.555555555557
INFINITI,2015,87009,Gasoline,Automatic,Gray,Black,None reported,Yes,17800,3.7,10,8700.9
BMW,2023,4348,Gasoline,Automatic,White,Black,None reported,No,105900,4.4,2,2174.0
Lincoln,2016,158000,Gasoline,Unknown,Red,Beige,None reported,Yes,19780,3.5,9,17555.555555555555
Volvo,2020,10500,Gasoline,Automatic,White,Black,None reported,Yes,36000,2.0,5,2100.0
Audi,2018,45843,Gasoline,Automatic,Silver,Black,None reported,Yes,37000,3.0,7,6549.0
